billing_id,tenant_id,year_month,line_type,description,model,quantity_tokens,amount_usd
c8a925bf-6876-4496-89c7-7a5b7b98449c,C2_MEDIUM,202602,base_fee,Monthly Platform License,,0,500
c8a925bf-6876-4496-89c7-7a5b7b98449c,C2_MEDIUM,202602,usage_cost,Model Usage Charge,mixed,28574280,92.4690
c8a925bf-6876-4496-89c7-7a5b7b98449c,C2_MEDIUM,202602,credit,Commercial Discount,,0,-10.0000
f44c26bb-30ed-49e4-a9ae-2a38604766c3,C2_MEDIUM,202603,base_fee,Monthly Platform License,,0,500
f44c26bb-30ed-49e4-a9ae-2a38604766c3,C2_MEDIUM,202603,usage_cost,Model Usage Charge,mixed,23302365,248.0621
303961cc-2a8c-48e5-aad5-9c5d1178863e,C2_MEDIUM,202604,base_fee,Monthly Platform License,,0,500
303961cc-2a8c-48e5-aad5-9c5d1178863e,C2_MEDIUM,202604,usage_cost,Model Usage Charge,mixed,24522704,831.1605
dde36e65-3646-4bf5-af94-44caebb08e36,C3_ENTERPRISE,202511,base_fee,Monthly Platform License,,0,2500
dde36e65-3646-4bf5-af94-44caebb08e36,C3_ENTERPRISE,202511,usage_cost,Model Usage Charge,mixed,13295919,1038.6825
82196d0b-2cfb-4320-adbd-cec9793732ef,C3_ENTERPRISE,202512,base_fee,Monthly Platform License,,0,2500
82196d0b-2cfb-4320-adbd-cec9793732ef,C3_ENTERPRISE,202512,usage_cost,Model Usage Charge,mixed,14049896,126.9487
1f938a61-a520-4f32-99ff-e7831c58eba9,C3_ENTERPRISE,202601,base_fee,Monthly Platform License,,0,2500
1f938a61-a520-4f32-99ff-e7831c58eba9,C3_ENTERPRISE,202601,usage_cost,Model Usage Charge,mixed,39757300,500.5080
1f938a61-a520-4f32-99ff-e7831c58eba9,C3_ENTERPRISE,202601,credit,Commercial Discount,,0,-10.0000
bdc31051-8439-49ad-80c9-183e550730b3,C3_ENTERPRISE,202602,base_fee,Monthly Platform License,,0,2500
bdc31051-8439-49ad-80c9-183e550730b3,C3_ENTERPRISE,202602,usage_cost,Model Usage Charge,mixed,23719641,1454.7480
bdc31051-8439-49ad-80c9-183e550730b3,C3_ENTERPRISE,202602,credit,Commercial Discount,,0,-10.0000
da7f3b9f-56c0-4b8c-b8c5-ac1d603d1c78,C3_ENTERPRISE,202603,base_fee,Monthly Platform License,,0,2500
da7f3b9f-56c0-4b8c-b8c5-ac1d603d1c78,C3_ENTERPRISE,202603,usage_cost,Model Usage Charge,mixed,27679237,1184.3694
da7f3b9f-56c0-4b8c-b8c5-ac1d603d1c78,C3_ENTERPRISE,202603,credit,Commercial Discount,,0,-10.0000
f7e483dd-45e3-42c4-afd4-992bef782087,C3_ENTERPRISE,202604,base_fee,Monthly Platform License,,0,2500
f7e483dd-45e3-42c4-afd4-992bef782087,C3_ENTERPRISE,202604,usage_cost,Model Usage Charge,mixed,10095839,314.6216
